folder,druid,sourceid,label
80110020-IF000000818,cy251wj4091,sul:ARS0018_0281-A,
80080011-IF000000538,bs998pm2093,sul:ARS0018_0282-A,
80070008-IF000000445,cn646fc3678,sul:ARS0018_0285-A,
80070009-IF000000446,nz989pm2495,sul:ARS0018_0286-A,
80070010-IF000000447,yn082ks9055,sul:ARS0018_0288-A,
80080012-IF000000539,gx081tg9145,sul:ARS0018_0289-A,
80080013-IF000000540,tc016ds1868,sul:ARS0018_0291-A,
80020023-IF000000075,vp554kw3211,sul:ARS0018_0293-A,
80050018-IF000000319,sn616gy3514,sul:ARS0018_0294-A,
80050019-IF000000320,rs934sj6483,sul:ARS0018_0295-A,
80030016-IF000000121,bv164qh1974,sul:ARS0018_0296-A,
80080014-IF000000541,wg231ts2034,sul:ARS0018_0297-A,
80110021-IF000000819,vx996jd1638,sul:ARS0018_0298-A,
80070011-IF000000448,nh736qg5893,sul:ARS0018_0301-A,
80070012-IF000000449,vb597nr2746,sul:ARS0018_0303-A,
80070013-IF000000450,rw824vk8665,sul:ARS0018_0304-A,
80070014-IF000000451,gj192qt4236,sul:ARS0018_0305-A,
80060010-IF000000393,jk750yh3766,sul:ARS0018_0306-A,
80050020-IF000000321,kz125fm8994,sul:ARS0018_0307-A,
80060011-IF000000394,sz999yk1249,sul:ARS0018_0308-A,
80060012-IF000000395,qr840sq1050,sul:ARS0018_0309-A,
80020024-IF000000076,yd419pc2894,sul:ARS0018_0310-A,
80110022-IF000000820,sh632df7858,sul:ARS0018_0313-A,
80110023-IF000000821,wj037wj4974,sul:ARS0018_0314-A,
80110024-IF000000822,qg098bz6312,sul:ARS0018_0315-A,
80110025-IF000000823,cv884wc5836,sul:ARS0018_0317-A,
80110026-IF000000824,kq388pp6968,sul:ARS0018_0319-A,
80110027-IF000000825,vn211mb8854,sul:ARS0018_0320-A,
80110028-IF000000826,mf582mp2340,sul:ARS0018_0321-A,
80090019-IF000000641,mc273zd3110,sul:ARS0018_0322-A,
80030017-IF000000122,wz818gn2910,sul:ARS0018_0323-A,
80110029-IF000000827,dh433vc3600,sul:ARS0018_0325-A,
80050021-IF000000322,mq612hm5505,sul:ARS0018_0326-A,
80110030-IF000000828,zd861ng6126,sul:ARS0018_0329-A,
80030018-IF000001080,gc847mf6933,sul:ARS0018_0330-A,
80030019-IF000000123,zy119yq4390,sul:ARS0018_0332-A,
80080015-IF000000542,hr480zr4385,sul:ARS0018_0333-A,
