folder,druid,sourceid,label
80080087-IF000000619,jj865gw8106,sul:ARS0018_1390-A,
80060047-IF000000429,vd736qn8892,sul:ARS0018_1392-A,
80090070-IF000000692,px981gt8142,sul:ARS0018_1394-A,
80100076-IF000000791,rj145cj3786,sul:ARS0018_1397-A,
80100077-IF000000792,ct449qc1028,sul:ARS0018_1398-A,
80090071-IF000000693,pp192rs6897,sul:ARS0018_1429-A,
80050081-IF000000382,cg079zp7143,sul:ARS0018_1430-A,
80060048-IF000000430,wj064rh2411,sul:ARS0018_1433-A,
80070076-IF000000527,qd016yv5861,sul:ARS0018_1435-A,
80060049-IF000000431,wf559kj8089,sul:ARS0018_1437-A,
80050082-IF000000383,xh533hr8962,sul:ARS0018_1439-A,
80060050-IF000000432,db493ss3157,sul:ARS0018_1441-A,
80090072-IF000000694,vz365yb6640,sul:ARS0018_1443-A,
80080090-IF000000620,pw082pc8963,sul:ARS0018_1445-A,
80100078-IF000000793,qf415tk3886,sul:ARS0018_1447-A,
80040068-IF000000301,sy832vy2222,sul:ARS0018_1449-A,
80080091-IF000000621,tc341nc1871,sul:ARS0018_1451-A,
80030049-IF000000154,rh515qk3810,sul:ARS0018_1453-A,
80090073-IF000000695,sv154jm7679,sul:ARS0018_1512-A,
80060051-IF000000433,jn624ms3961,sul:ARS0018_1513-A,
80090074-IF000000696,hq864cv7324,sul:ARS0018_1514-A,
80060052-IF000000434,cw109hn1027,sul:ARS0018_1515-A,
80060053-IF000000435,pc788vs0514,sul:ARS0018_1516-A,
80100079-IF000000794,zt596hm1683,sul:ARS0018_1517-A,
80060054-IF000000436,xm223qp1294,sul:ARS0018_1518-A,
80090075-IF000000697,kg318sg5190,sul:ARS0018_1519-A,
80080092-IF000000622,df049vp9676,sul:ARS0018_1520-A,
80090076-IF000000698,fq507ph2867,sul:ARS0018_1521-A,
80090077-IF000000699,fy338fc3936,sul:ARS0018_1522-A,
80060055-IF000000437,jr341st0462,sul:ARS0018_1523-A,
8019001-IF000001301,wd126dy8352,sul:ARS0018_1531-A,
8016059-IF000001276,rc401ff1081,sul:ARS0018_1582-A,
8016060-IF000001277,dq958tg5336,sul:ARS0018_1583-A,
8016061-IF000001278,jb497fn6456,sul:ARS0018_1584-A,
8016062-IF000001279,rw178zg9779,sul:ARS0018_1585-A,
8016063-IF000001280,zx807hd4303,sul:ARS0018_1586-A,
8016064-IF000001281,jc974bn8593,sul:ARS0018_1587-A,
8016065-IF000001282,yy923wr8053,sul:ARS0018_1588-A,
8016066-IF000001283,zy229fx1428,sul:ARS0018_1589-A,
8016067-IF000001284,gt973yf9372,sul:ARS0018_1590-A,
8016068-IF000001285,nf272kv5728,sul:ARS0018_1591-A,
8016069-IF000001286,hw182cc3467,sul:ARS0018_1592-A,
8016070-IF000001287,ys464pc0167,sul:ARS0018_1593-A,
8016071-IF000001288,tj838kq6675,sul:ARS0018_1594-A,
80030050-IF000000155,td587vw0989,sul:ARS0018_1631-A,
80030050-IF000000156,mm002xv0938,sul:ARS0018_1631-B,
80120034-IF000000953,wq123vq5119,sul:ARS0018_1632-A,
80090078-IF000000700,yd992sq0077,sul:ARS0018_1633-A,
80090079-IF000000701,wy720ny9491,sul:ARS0018_1634-A,
80090080-IF000000702,ph482sk7832,sul:ARS0018_1635-A,
80090081-IF000000703,xt607tb7727,sul:ARS0018_1636-A,
80090082-IF000000704,jh585dn4525,sul:ARS0018_1637-A,
8016017-IF000001234,sx476np2295,sul:ARS0018_1670-A,
8016018-IF000001235,cb082vz2652,sul:ARS0018_1671-A,
8016019-IF000001236,sx566xd0708,sul:ARS0018_1672-A,
8016020-IF000001237,kr795xn8782,sul:ARS0018_1673-A,
8016021-IF000001238,fv323cg3504,sul:ARS0018_1674-A,
8016022-IF000001239,qt792nv4446,sul:ARS0018_1675-A,
8016072-IF000001308,tq603rz2564,sul:ARS0018_1676-A,
8016023-IF000001240,zq662qm3341,sul:ARS0018_1677-A,
8016024-IF000001241,ks103tv2743,sul:ARS0018_1678-A,
8016025-IF000001242,qm066hd5849,sul:ARS0018_1679-A,
8016026-IF000001243,fg428jg5771,sul:ARS0018_1680-A,
8016027-IF000001244,nw648gh3264,sul:ARS0018_1681-A,
8016028-IF000001245,hm891rg3723,sul:ARS0018_1682-A,
8016029-IF000001246,xv237bc4544,sul:ARS0018_1683-A,
8016030-IF000001247,sg519bt5826,sul:ARS0018_1684-A,
8016031-IF000001248,wc344ch9846,sul:ARS0018_1727-A,
8016032-IF000001249,yt654dh3087,sul:ARS0018_1728-A,
8016033-IF000001250,yt968pc9859,sul:ARS0018_1731-A,
8019020-IF000001320,gd749dg1722,sul:ARS0018_1733-A,
8016034-IF000001251,xq652gf0063,sul:ARS0018_1734-A,
8016035-IF000001252,tf251mz0571,sul:ARS0018_1735-A,
8016036-IF000001253,np961wz3503,sul:ARS0018_1737-A,
8016037-IF000001254,bf302kj0800,sul:ARS0018_1739-A,
8016038-IF000001255,zz061qj6089,sul:ARS0018_1740-A,
8016039-IF000001256,hq103zf8049,sul:ARS0018_1742-A,
8016040-IF000001257,xc614xz0835,sul:ARS0018_1743-A,
8016041-IF000001258,jr360fn2267,sul:ARS0018_1744-A,
8016042-IF000001259,hs005pw5026,sul:ARS0018_1746-A,
8016043-IF000001260,bg848mr6853,sul:ARS0018_1749-A,
8016044-IF000001261,sf554yx2526,sul:ARS0018_1750-A,
8016045-IF000001262,kx044cz9317,sul:ARS0018_1753-A,
8016046-IF000001263,zq869gy7474,sul:ARS0018_1774-A,
8016047-IF000001264,sg658rm2495,sul:ARS0018_1775-A,
8016048-IF000001265,hy346jv0441,sul:ARS0018_1776-A,
8016049-IF000001266,nb167fn9742,sul:ARS0018_1777-A,
8016050-IF000001267,zg176zt5237,sul:ARS0018_1778-A,
8016051-IF000001268,rf284yz1992,sul:ARS0018_1779-A,
8016052-IF000001269,jh765xp5751,sul:ARS0018_1780-A,
8016053-IF000001270,gv980kz7243,sul:ARS0018_1781-A,
8016054-IF000001271,jc670bp8284,sul:ARS0018_1782-A,
8016055-IF000001272,bd366vm8209,sul:ARS0018_1783-A,
8016056-IF000001273,ds629hp6524,sul:ARS0018_1784-A,
8016057-IF000001274,bf132sq9690,sul:ARS0018_1785-A,
8016058-IF000001275,dz379xj3089,sul:ARS0018_1786-A,
80100083-IF000000798,fs293pf2170,sul:ARS0018_1868-A,
80100081-IF000000796,md762xc8983,sul:ARS0018_1869-A,
80100082-IF000000797,tw900cv1560,sul:ARS0018_1870-A,
80100080-IF000000795,sv152rc8194,sul:ARS0018_1871-A,
