source_id,filename,label,sequence,druid_no_audio
,cx848zp1574_1_a_sl.mp3,"Tape 1, Side A",1,
,cx848zp1574_2_a_pm.wav,"Tape 2, Side A",,
,cx848zp1574_2_a_sl.mp3,"Tape 2, Side A",2,
M1897_FAF0500850204,dc327gd7632_a_pm.wav,"Tape 1, Side A",,
,dc327gd7632_a_sl.mp3,"Tape 1, Side A",3,
,dc327gd7632_b_pm.wav,"Tape 1, Side B",,
,dc327gd7632_b_sl.mp3,"Tape 1, Side B",4,
M1897_FAF0715880102-FAF0715880202,dd757kp8289_1_a_pm.wav,"Tape 1, Side A",,
,dd757kp8289_1_a_sl.mp3,"Tape 1, Side A",1,
,dd757kp8289_1_b_pm.wav,"Tape 1, Side B",,
,dd757kp8289_1_b_sl.mp3,"Tape 1, Side B",2,
,dd757kp8289_2_a_pm.wav,"Tape 2, Side A",,
,dd757kp8289_2_a_sl.mp3,"Tape 2, Side A",3,
,dd757kp8289_2_b_pm.wav,"Tape 2, Side B",,
,dd757kp8289_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0927990101,dg322nd2337_a_pm.wav,"Tape 1, Side A",,
,dg322nd2337_a_sl.mp3,"Tape 1, Side A",1,
,dg322nd2337_b_pm.wav,"Tape 1, Side B",,
,dg322nd2337_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF1118950102-FAF1118950202,dk886qf8287_1_a_pm.wav,"Tape 1, Side A",,
,dk886qf8287_1_a_sl.mp3,"Tape 1, Side A",1,
,dk886qf8287_1_b_pm.wav,"Tape 1, Side B",,
,dk886qf8287_1_b_sl.mp3,"Tape 1, Side B",2,
,dk886qf8287_2_a_pm.wav,"Tape 2, Side A",,
,dk886qf8287_2_a_sl.mp3,"Tape 2, Side A",3,
,dk886qf8287_2_b_pm.wav,"Tape 2, Side B",,
,dk886qf8287_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0226970204-FAF0226970104-FAF0226970304-FAF0226970404,dr677zm0454_1_a_pm.wav,"Tape 1, Side A",,
,dr677zm0454_1_a_sl.mp3,"Tape 1, Side A",1,
,dr677zm0454_1_b_pm.wav,"Tape 1, Side B",,
,dr677zm0454_1_b_sl.mp3,"Tape 1, Side B",2,
,dr677zm0454_2_a_pm.wav,"Tape 2, Side A",,
,dr677zm0454_2_a_sl.mp3,"Tape 2, Side A",3,
,dr677zm0454_2_b_pm.wav,"Tape 2, Side B",,
,dr677zm0454_2_b_sl.mp3,"Tape 2, Side B",4,
,dr677zm0454_3_a_pm.wav,"Tape 3, Side A",,
,dr677zm0454_3_a_sl.mp3,"Tape 3, Side A",5,
,dr677zm0454_3_b_pm.wav,"Tape 3, Side B",,
,dr677zm0454_3_b_sl.mp3,"Tape 3, Side B",6,
,dr677zm0454_4_a_pm.wav,"Tape 4, Side A",,
,dr677zm0454_4_a_sl.mp3,"Tape 4, Side A",7,
,dr677zm0454_4_b_pm.wav,"Tape 4, Side B",,
,dr677zm0454_4_b_sl.mp3,"Tape 4, Side B",8,
M1897_FAF0823990102-FAF0823990202,dw490wx6091_1_a_pm.wav,"Tape 1, Side A",,
,dw490wx6091_1_a_sl.mp3,"Tape 1, Side A",1,
,dw490wx6091_1_b_pm.wav,"Tape 1, Side B",,
,dw490wx6091_1_b_sl.mp3,"Tape 1, Side B",2,
,dw490wx6091_2_a_pm.wav,"Tape 2, Side A",,
,dw490wx6091_2_a_sl.mp3,"Tape 2, Side A",3,
,dw490wx6091_2_b_pm.wav,"Tape 2, Side B",,
,dw490wx6091_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0321910102-FAF0321910202,dw667cp6471_1_a_pm.wav,"Tape 1, Side A",,
,dw667cp6471_1_a_sl.mp3,"Tape 1, Side A",1,
,dw667cp6471_1_b_pm.wav,"Tape 1, Side B",,
,dw667cp6471_1_b_sl.mp3,"Tape 1, Side B",2,
,dw667cp6471_2_a_pm.wav,"Tape 2, Side A",,
,dw667cp6471_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF1019940202-FAF1019940102,dx608rs8131_1_a_pm.wav,"Tape 1, Side A",,
,dx608rs8131_1_a_sl.mp3,"Tape 1, Side A",1,
,dx608rs8131_1_b_pm.wav,"Tape 1, Side B",,
,dx608rs8131_1_b_sl.mp3,"Tape 1, Side B",2,
,dx608rs8131_2_a_pm.wav,"Tape 2, Side A",,
,dx608rs8131_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0312920102-FAF0312920202,fb655xk8737_1_a_pm.wav,"Tape 1, Side A",,
,fb655xk8737_1_a_sl.mp3,"Tape 1, Side A",1,
,fb655xk8737_1_b_pm.wav,"Tape 1, Side B",,
,fb655xk8737_1_b_sl.mp3,"Tape 1, Side B",2,
,fb655xk8737_2_a_pm.wav,"Tape 2, Side A",,
,fb655xk8737_2_a_sl.mp3,"Tape 2, Side A",3,
,fb655xk8737_2_b_pm.wav,"Tape 2, Side B",,
,fb655xk8737_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF1018880102-FAF1018880202,ff258td7369_1_a_pm.wav,"Tape 1, Side A",,
,ff258td7369_1_a_sl.mp3,"Tape 1, Side A",1,
,ff258td7369_1_b_pm.wav,"Tape 1, Side B",,
,ff258td7369_1_b_sl.mp3,"Tape 1, Side B",2,
,ff258td7369_2_a_pm.wav,"Tape 2, Side A",,
,ff258td7369_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0714930102-FAF0714930202,fg356bq1651_1_a_pm.wav,"Tape 1, Side A",,
,fg356bq1651_1_a_sl.mp3,"Tape 1, Side A",1,
,fg356bq1651_1_b_pm.wav,"Tape 1, Side B",,
,fg356bq1651_1_b_sl.mp3,"Tape 1, Side B",2,
,fg356bq1651_2_a_pm.wav,"Tape 2, Side A",,
,fg356bq1651_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0418000101,fk927mt8062_a_pm.wav,"Tape 1, Side A",,
,fk927mt8062_a_sl.mp3,"Tape 1, Side A",1,
M1897_FAF0813970102-FAF0813970202,fm618hr6794_1_a_pm.wav,"Tape 1, Side A",,
,fm618hr6794_1_a_sl.mp3,"Tape 1, Side A",1,
,fm618hr6794_1_b_pm.wav,"Tape 1, Side B",,
,fm618hr6794_1_b_sl.mp3,"Tape 1, Side B",2,
,fm618hr6794_2_a_pm.wav,"Tape 2, Side A",,
,fm618hr6794_2_a_sl.mp3,"Tape 2, Side A",3,
,fm618hr6794_2_b_pm.wav,"Tape 2, Side B",,
,fm618hr6794_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0408930102-FAF0408930202,fm834cy4686_1_a_pm.wav,"Tape 1, Side A",,
,fm834cy4686_1_a_sl.mp3,"Tape 1, Side A",1,
,fm834cy4686_1_b_pm.wav,"Tape 1, Side B",,
,fm834cy4686_1_b_sl.mp3,"Tape 1, Side B",2,
,fm834cy4686_2_a_pm.wav,"Tape 2, Side A",,
,fm834cy4686_2_a_sl.mp3,"Tape 2, Side A",3,
,fm834cy4686_2_b_pm.wav,"Tape 2, Side B",,
,fm834cy4686_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0610930103-FAF0610930203-FAF0610930303,fp279jv3675_1_a_pm.wav,"Tape 1, Side A",,
,fp279jv3675_1_a_sl.mp3,"Tape 1, Side A",1,
,fp279jv3675_2_a_pm.wav,"Tape 2, Side A",,
,fp279jv3675_2_a_sl.mp3,"Tape 2, Side A",2,
,fp279jv3675_3_a_pm.wav,"Tape 3, Side A",,
,fp279jv3675_3_a_sl.mp3,"Tape 3, Side A",3,
M1897_FAF0818990202,fp887mp0215_a_pm.wav,"Tape 1, Side A",,
,fp887mp0215_a_sl.mp3,"Tape 1, Side A",1,
,fp887mp0215_b_pm.wav,"Tape 1, Side B",,
,fp887mp0215_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0610960102-FAF0610960202,fq581kn2505_1_a_pm.wav,"Tape 1, Side A",,
,fq581kn2505_1_a_sl.mp3,"Tape 1, Side A",1,
,fq581kn2505_1_b_pm.wav,"Tape 1, Side B",,
,fq581kn2505_1_b_sl.mp3,"Tape 1, Side B",2,
,fq581kn2505_2_a_pm.wav,"Tape 2, Side A",,
,fq581kn2505_2_a_sl.mp3,"Tape 2, Side A",3,
,fq581kn2505_2_b_pm.wav,"Tape 2, Side B",,
,fq581kn2505_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0319940104-FAF0319940204-FAF0319940304-FAF0319940404,fr674xw1724_1_a_pm.wav,"Tape 1, Side A",,
,fr674xw1724_1_a_sl.mp3,"Tape 1, Side A",1,
,fr674xw1724_1_b_pm.wav,"Tape 1, Side B",,
,fr674xw1724_1_b_sl.mp3,"Tape 1, Side B",2,
,fr674xw1724_2_a_pm.wav,"Tape 2, Side A",,
,fr674xw1724_2_a_sl.mp3,"Tape 2, Side A",3,
,fr674xw1724_2_b_pm.wav,"Tape 2, Side B",,
,fr674xw1724_2_b_sl.mp3,"Tape 2, Side B",4,
