source_id,filename,label,sequence,druid_no_audio
,cb260zz4895_235_a_pm.wav,"Tape 7, Side A",,
,cb260zz4895_235_a_sh.wav,"Tape 7, Side A",,
,cb260zz4895_235_a_sl.mp3,"Tape 7, Side A",12,
,cb260zz4895_235_b_pm.wav,"Tape 7, Side B",,
,cb260zz4895_235_b_sh.wav,"Tape 7, Side B",,
,cb260zz4895_235_b_sl.mp3,"Tape 7, Side B",13,
,cb260zz4895_236_a_pm.wav,"Tape 8, Side A",,
,cb260zz4895_236_a_sh.wav,"Tape 8, Side A",,
,cb260zz4895_236_a_sl.mp3,"Tape 8, Side A",14,
,cb260zz4895_236_b_pm.wav,"Tape 8, Side B",,
,cb260zz4895_236_b_sh.wav,"Tape 8, Side B",,
,cb260zz4895_236_b_sl.mp3,"Tape 8, Side B",15,
SC1017_s1_Yalom,cd593db9411_156_a_pm.wav,"Tape 1, Side A",,
,cd593db9411_156_a_sh.wav,"Tape 1, Side A",,
,cd593db9411_156_a_sl.mp3,"Tape 1, Side A",1,
,cd593db9411_156_b_pm.wav,"Tape 1, Side B",,
,cd593db9411_156_b_sh.wav,"Tape 1, Side B",,
,cd593db9411_156_b_sl.mp3,"Tape 1, Side B",2,
,cd593db9411_157_a_pm.wav,"Tape 2, Side A",,
,cd593db9411_157_a_sh.wav,"Tape 2, Side A",,
,cd593db9411_157_a_sl.mp3,"Tape 2, Side A",3,
SC1017_s5_Slaven,cf989cf5846_217_a_pm.wav,"Tape 1, Side A",,
,cf989cf5846_217_a_sh.wav,"Tape 1, Side A",,
,cf989cf5846_217_a_sl.mp3,"Tape 1, Side A",1,
,cf989cf5846_217_b_pm.wav,"Tape 1, Side B",,
,cf989cf5846_217_b_sh.wav,"Tape 1, Side B",,
,cf989cf5846_217_b_sl.mp3,"Tape 1, Side B",2,
SC1017_ s1_Hofstadter,cs602rt5859_283_a_pm.wav,"Tape 1, Side A",,
,cs602rt5859_283_a_sh.wav,"Tape 1, Side A",,
,cs602rt5859_283_a_sl.mp3,"Tape 1, Side A",1,
,cs602rt5859_283_b_pm.wav,"Tape 1, Side B",,
,cs602rt5859_283_b_sh.wav,"Tape 1, Side B",,
,cs602rt5859_283_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s1_Sears,cx025pr2107_126_a_pm.wav,"Tape 1, Side A",,
,cx025pr2107_126_a_sh.wav,"Tape 1, Side A",,
,cx025pr2107_126_a_sl.mp3,"Tape 1, Side A",1,
,cx025pr2107_126_b_pm.wav,"Tape 1, Side B",,
,cx025pr2107_126_b_sh.wav,"Tape 1, Side B",,
,cx025pr2107_126_b_sl.mp3,"Tape 1, Side B",2,
,cx025pr2107_127_a_pm.wav,"Tape 2, Side A",,
,cx025pr2107_127_a_sh.wav,"Tape 2, Side A",,
,cx025pr2107_127_a_sl.mp3,"Tape 2, Side A",3,
,cx025pr2107_127_b_pm.wav,"Tape 2, Side B",,
,cx025pr2107_127_b_sh.wav,"Tape 2, Side B",,
,cx025pr2107_127_b_sl.mp3,"Tape 2, Side B",4,
,cx025pr2107_128_a_pm.wav,"Tape 3, Side A",,
,cx025pr2107_128_a_sh.wav,"Tape 3, Side A",,
,cx025pr2107_128_a_sl.mp3,"Tape 3, Side A",5,
,cx025pr2107_128_b_pm.wav,"Tape 3, Side B",,
,cx025pr2107_128_b_sh.wav,"Tape 3, Side B",,
,cx025pr2107_128_b_sl.mp3,"Tape 3, Side B",6,
,cx025pr2107_129_a_pm.wav,"Tape 4, Side A",,
,cx025pr2107_129_a_sh.wav,"Tape 4, Side A",,
,cx025pr2107_129_a_sl.mp3,"Tape 4, Side A",7,
,cx025pr2107_129_b_pm.wav,"Tape 4, Side B",,
,cx025pr2107_129_b_sh.wav,"Tape 4, Side B",,
,cx025pr2107_129_b_sl.mp3,"Tape 4, Side B",8,
,cx025pr2107_131_a_pm.wav,"Tape 5, Side A",,
,cx025pr2107_131_a_sh.wav,"Tape 5, Side A",,
,cx025pr2107_131_a_sl.mp3,"Tape 5, Side A",9,
,cx025pr2107_131_b_pm.wav,"Tape 5, Side B",,
,cx025pr2107_131_b_sh.wav,"Tape 5, Side B",,
,cx025pr2107_131_b_sl.mp3,"Tape 5, Side B",10,
,cx025pr2107_132_a_pm.wav,"Tape 6, Side A",,
,cx025pr2107_132_a_sh.wav,"Tape 6, Side A",,
